ParameterValue,flocking index,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std,number_fish
1e-05,0.20737779725931402,0,0,0,0,0,0,0,0,0,0,0
1e-05,0.211333601442158,0,0,0,0,0,0,0,0,0,0,0
0.00011,0.17098357589281335,0,0,0,0,0,0,0,0,0,0,0
0.00011,0.18638180614641175,0,0,0,0,0,0,0,0,0,0,0
0.00021,0.12825669425586478,0,0,0,0,0,0,0,0,0,0,0
0.00021,0.0998234808520929,0,0,0,0,0,0,0,0,0,0,0
0.00031000000000000005,0.1280014265563394,0,0,0,0,0,0,0,0,0,0,0
0.00031000000000000005,0.13007023754542538,0,0,0,0,0,0,0,0,0,0,0
0.00041000000000000005,0.15736403393022821,0,0,0,0,0,0,0,0,0,0,0
0.00041000000000000005,0.12967714868194444,0,0,0,0,0,0,0,0,0,0,0
0.00051,0.14196789541202728,0,0,0,0,0,0,0,0,0,0,0
0.00051,0.09125298825065209,0,0,0,0,0,0,0,0,0,0,0
0.0006100000000000001,0.06753253590783885,0,0,0,0,0,0,0,0,0,0,0
0.0006100000000000001,0.12167883563264875,0,0,0,0,0,0,0,0,0,0,0
0.00071,0.15089842550895638,0,0,0,0,0,0,0,0,0,0,0
0.00071,0.1543600842560809,0,0,0,0,0,0,0,0,0,0,0
0.0008100000000000001,0.0843431499399515,0,0,0,0,0,0,0,0,0,0,0
0.0008100000000000001,0.13201034710955578,0,0,0,0,0,0,0,0,0,0,0
0.0009100000000000001,0.11602185075868054,0,0,0,0,0,0,0,0,0,0,0
0.0009100000000000001,0.12059265312262737,0,0,0,0,0,0,0,0,0,0,0
